symbol,timestamp,open,high,low,close,volume
AAPL,2024-12-01,258.31,266.14,249.72,259.37,75630701
AAPL,2024-12-01,355.46,364.4,349.11,361.52,8425292
AAPL,2024-12-01,287.95,289.34,283.45,286.74,98072018
AAPL,2024-12-01,429.11,432.61,427.34,428.2,69412793
AAPL,2024-12-01,293.95,297.5,286.59,288.36,38122223
AAPL,2024-12-01,338.98,344.22,332.16,334.54,80628304
AAPL,2024-12-02,489.69,499.07,486.01,490.76,32937789
AAPL,2024-12-02,291.67,295.77,285.14,287.44,80117520
AAPL,2024-12-02,254.64,262.93,247.52,253.71,92151278
AAPL,2024-12-02,234.04,239.97,227.6,239.61,13500597
AAPL,2024-12-03,486.62,487.63,481.39,485.14,44676870
AAPL,2024-12-03,248.82,252.1,246.92,247.61,45041178
AAPL,2024-12-03,445.38,447.17,436.06,439.69,23700355
AAPL,2024-12-03,478.6,481.26,474.49,476.17,44734013
AAPL,2024-12-04,383.99,389.11,377.54,381.92,56188330
AAPL,2024-12-04,341.52,348.88,339.64,347.69,58358820
AAPL,2024-12-05,373.09,378.44,366.67,374.61,22777470
AAPL,2024-12-05,352.09,353.22,349.53,351.01,74214456
AAPL,2024-12-05,355.56,362.34,353.93,354.57,79247546
AAPL,2024-12-05,345.37,347.16,337.62,340.53,18035599
AAPL,2024-12-06,451.28,460.72,446.09,458.99,62470714
AAPL,2024-12-06,461.92,466.64,459.28,463.15,18024052
AAPL,2024-12-06,358.07,366.14,356.25,356.29,66926736
AAPL,2024-12-07,466.66,472.81,456.7,471.51,64887991
AAPL,2024-12-07,299.99,308.72,292.95,306.2,25917476
AAPL,2024-12-07,259.7,269.54,252.46,267.7,13835488
AAPL,2024-12-07,318.02,320.21,313.29,318.83,64480184
AAPL,2024-12-08,347.91,353.7,346.27,352.36,67329713
AAPL,2024-12-08,236.46,243.34,232.5,235.23,32183003
AAPL,2024-12-08,429.83,434.16,420.14,429.7,99120830
AAPL,2024-12-08,497.35,502.64,488.42,489.33,47161367
AAPL,2024-12-08,457.15,466.01,451.76,454.49,9876192
AAPL,2024-12-09,431.7,435.2,428.05,431.5,19034017
AAPL,2024-12-09,297.74,299.96,294.8,295.56,27885599
AAPL,2024-12-09,284.38,290.06,283.05,289.55,8789021
AAPL,2024-12-09,232.23,237.62,223.29,231.62,94096249
AAPL,2024-12-10,433.96,443.22,431.62,438.42,14318348
AAPL,2024-12-10,447.04,449.95,440.84,443.02,49039238
AAPL,2024-12-10,400.24,404.65,393.65,400.42,11765212
AAPL,2024-12-10,232.72,237.82,228.0,237.19,59682761
AAPL,2024-12-10,394.35,402.25,385.49,392.18,6400104
AAPL,2024-12-10,323.2,332.38,320.42,324.19,46564366
AAPL,2024-12-11,438.88,442.17,437.37,437.87,64910524
AAPL,2024-12-11,259.51,269.38,256.97,262.68,67381471
AAPL,2024-12-11,308.81,314.87,300.03,310.42,18962240
AAPL,2024-12-11,354.8,359.38,345.76,355.05,90091863
AAPL,2024-12-12,308.79,317.44,299.26,300.53,91685038
AAPL,2024-12-12,444.68,451.67,441.79,450.64,36355351
AAPL,2024-12-12,497.13,503.84,489.87,499.08,54627505
AAPL,2024-12-12,415.17,423.27,412.86,415.48,46039836
AAPL,2024-12-12,380.43,385.69,373.7,379.42,33975657
AAPL,2024-12-13,467.21,471.59,465.67,469.11,57727930
AAPL,2024-12-13,473.07,474.69,463.16,463.24,91427027
AAPL,2024-12-14,372.08,381.48,368.01,374.0,55916528
AAPL,2024-12-14,478.72,482.18,470.27,478.58,46781738
AAPL,2024-12-14,291.5,297.08,287.71,292.86,60248935
AAPL,2024-12-15,408.36,413.15,403.33,408.13,59457724
AAPL,2024-12-15,248.14,253.24,246.49,248.4,28604600
AAPL,2024-12-16,443.02,452.83,439.56,449.46,25866444
AAPL,2024-12-16,390.29,391.62,383.27,387.99,22231584
AAPL,2024-12-17,449.22,457.76,445.12,457.2,27538815
AAPL,2024-12-18,482.3,487.53,477.42,485.34,96224568
AAPL,2024-12-18,486.97,490.14,482.63,486.05,75294376
AAPL,2024-12-20,259.82,268.87,255.18,258.67,63993217
AAPL,2024-12-20,442.1,445.28,435.71,441.26,99054973
AAPL,2024-12-20,203.75,210.81,198.21,199.12,86190840
AAPL,2024-12-20,404.58,405.82,399.76,403.91,21511113
AAPL,2024-12-20,365.4,369.09,362.66,368.88,49552978
AAPL,2024-12-21,333.4,342.6,324.05,324.87,13175967
AAPL,2024-12-21,343.59,345.55,339.99,342.68,49653225
AAPL,2024-12-22,296.26,303.43,290.97,296.21,81903991
AAPL,2024-12-22,488.67,496.27,479.87,483.64,36434146
AAPL,2024-12-22,470.16,473.72,465.67,471.45,96721233
AAPL,2024-12-23,399.95,407.02,396.64,406.29,31426445
AAPL,2024-12-23,244.52,249.31,242.0,243.83,12519000
AAPL,2024-12-23,320.55,325.92,316.54,320.29,32683728
AAPL,2024-12-23,280.45,282.87,277.29,279.04,37531155
AAPL,2024-12-23,413.89,416.13,410.48,411.04,48126820
AAPL,2024-12-24,429.59,435.46,420.8,423.88,61400152
AAPL,2024-12-24,495.19,504.67,492.09,499.59,95672880
AAPL,2024-12-24,317.25,323.15,313.07,317.38,51276258
AAPL,2024-12-25,382.66,387.18,378.54,380.46,52128414
AAPL,2024-12-25,432.86,437.85,430.01,436.83,37968325
AAPL,2024-12-25,402.23,408.35,397.49,407.83,76766846
AAPL,2024-12-25,210.22,217.7,201.13,214.13,4709418
AAPL,2024-12-26,345.72,346.98,340.94,345.08,32291255
AAPL,2024-12-26,482.09,485.03,480.3,481.64,61773600
AAPL,2024-12-26,334.17,340.55,325.07,338.69,1483939
AAPL,2024-12-27,237.14,239.65,232.32,237.06,82142976
AAPL,2024-12-27,430.29,433.32,421.25,423.58,46153625
AAPL,2024-12-27,466.31,467.46,461.76,466.21,34287738
AAPL,2024-12-27,415.12,422.8,410.72,420.66,87565577
AAPL,2024-12-28,409.86,414.18,404.92,409.71,21798829
AAPL,2024-12-28,376.35,381.95,367.76,374.44,44230177
AAPL,2024-12-28,290.92,297.32,281.48,294.9,91346756
AAPL,2024-12-28,280.55,285.44,274.92,278.35,3838832
AAPL,2024-12-29,220.14,227.94,216.57,225.39,78139675
AAPL,2024-12-29,424.87,431.54,419.96,428.64,28598254
AAPL,2024-12-29,474.8,484.07,469.14,473.27,20741277
AAPL,2024-12-29,284.21,287.81,281.58,285.75,39405359
AAPL,2024-12-30,214.72,219.6,209.22,210.61,42800407
AAPL,2024-12-30,318.58,320.15,311.82,312.84,98605068
AMZN,2024-12-01,226.43,232.77,224.78,228.84,66670121
AMZN,2024-12-01,315.16,317.36,308.61,317.29,40996453
AMZN,2024-12-01,455.14,461.73,450.46,455.25,59300408
AMZN,2024-12-02,457.38,460.87,456.36,459.57,83526227
AMZN,2024-12-02,413.33,416.84,410.49,412.37,48262309
AMZN,2024-12-02,421.14,427.53,415.07,418.61,80247717
AMZN,2024-12-03,403.54,405.45,402.41,405.33,23313753
AMZN,2024-12-03,442.85,447.3,441.59,442.65,6481048
AMZN,2024-12-04,473.74,480.51,471.41,480.22,65736592
AMZN,2024-12-04,209.87,211.56,207.01,207.96,22704794
AMZN,2024-12-04,357.17,365.12,350.75,360.57,85761253
AMZN,2024-12-05,223.02,229.05,214.22,228.99,49626485
AMZN,2024-12-05,435.18,440.47,426.22,428.99,88767351
AMZN,2024-12-05,334.03,341.73,327.73,331.77,53233791
AMZN,2024-12-05,447.5,454.96,438.65,439.12,9752268
AMZN,2024-12-05,429.27,438.53,426.02,434.91,11382137
AMZN,2024-12-06,401.6,409.28,392.64,405.07,95916906
AMZN,2024-12-06,484.7,489.8,481.43,481.89,77582803
AMZN,2024-12-06,462.44,463.63,453.24,454.12,91915186
AMZN,2024-12-06,398.03,403.81,392.49,398.04,27622906
AMZN,2024-12-06,206.88,208.68,205.85,208.32,27512002
AMZN,2024-12-07,262.12,269.94,257.9,264.86,60167665
AMZN,2024-12-07,226.58,233.84,223.84,231.7,81166306
AMZN,2024-12-07,426.76,434.0,423.08,428.76,82417838
AMZN,2024-12-07,436.14,443.69,428.3,441.85,38004263
AMZN,2024-12-08,351.99,360.78,345.89,357.17,53203430
AMZN,2024-12-08,401.91,408.96,397.46,403.96,10189795
AMZN,2024-12-08,271.6,281.19,266.42,272.07,94570643
AMZN,2024-12-09,408.59,412.23,403.97,405.85,27851948
AMZN,2024-12-09,239.79,246.22,230.43,236.47,72523330
AMZN,2024-12-10,244.94,252.65,238.45,239.8,37896093
AMZN,2024-12-11,384.92,394.73,376.96,378.36,70955778
AMZN,2024-12-11,457.17,466.28,452.72,465.87,95523095
AMZN,2024-12-12,402.67,408.83,394.73,408.09,56912782
AMZN,2024-12-12,392.28,396.25,390.69,392.17,13403058
AMZN,2024-12-12,420.49,429.5,418.12,425.7,98324607
AMZN,2024-12-12,338.83,344.92,335.66,337.89,23375964
AMZN,2024-12-13,363.71,369.89,359.86,366.5,75946736
AMZN,2024-12-13,257.06,258.24,255.73,257.85,72428289
AMZN,2024-12-13,449.9,454.18,447.57,453.34,57488103
AMZN,2024-12-14,489.45,494.27,480.64,490.07,6215740
AMZN,2024-12-14,443.55,453.48,439.75,452.16,28575809
AMZN,2024-12-14,372.76,377.19,369.99,376.73,20180514
AMZN,2024-12-14,458.45,464.12,453.01,457.59,2125517
AMZN,2024-12-14,231.69,234.6,230.2,234.56,42644956
AMZN,2024-12-15,218.0,226.24,214.05,214.62,70964176
AMZN,2024-12-15,409.64,418.97,407.9,417.1,89771786
AMZN,2024-12-15,482.25,486.74,473.18,486.09,99216338
AMZN,2024-12-15,376.51,379.8,370.0,377.24,87182196
AMZN,2024-12-15,448.6,457.12,440.9,450.66,48093290
AMZN,2024-12-16,489.03,497.11,482.94,489.67,98029121
AMZN,2024-12-16,475.66,482.93,469.99,472.86,26896953
AMZN,2024-12-17,424.38,430.91,414.45,425.07,46623731
AMZN,2024-12-17,211.83,215.95,209.11,214.73,53756403
AMZN,2024-12-17,233.18,236.02,229.04,234.79,13840466
AMZN,2024-12-17,493.11,501.71,490.66,491.16,20635438
AMZN,2024-12-17,293.75,298.03,288.46,291.34,10232695
AMZN,2024-12-18,379.34,388.87,374.53,386.97,17993527
AMZN,2024-12-18,393.29,399.32,384.05,397.79,10095185
AMZN,2024-12-18,367.12,374.65,362.13,371.18,7816391
AMZN,2024-12-19,222.03,229.51,214.81,216.74,79274972
AMZN,2024-12-19,251.33,254.13,242.24,247.12,49314373
AMZN,2024-12-19,412.16,421.87,407.05,407.42,8506354
AMZN,2024-12-19,211.4,214.22,208.05,210.35,86979689
AMZN,2024-12-19,354.27,360.67,345.0,349.31,20741429
AMZN,2024-12-19,396.53,399.07,390.99,398.36,84661434
AMZN,2024-12-20,496.14,497.85,487.65,488.35,10931004
AMZN,2024-12-21,383.63,390.39,379.49,381.01,35755874
AMZN,2024-12-21,202.71,206.82,194.93,201.33,12737390
AMZN,2024-12-21,279.44,284.31,276.5,277.55,41112166
AMZN,2024-12-21,452.95,455.33,447.86,451.27,98614679
AMZN,2024-12-21,235.38,239.3,225.84,230.66,58093715
AMZN,2024-12-21,360.17,361.35,350.21,353.79,72843555
AMZN,2024-12-22,275.15,280.45,273.71,279.69,30714023
AMZN,2024-12-22,450.43,456.49,445.78,454.1,37980343
AMZN,2024-12-22,297.41,306.05,288.46,297.92,1426390
AMZN,2024-12-22,463.79,470.06,461.95,467.42,71359482
AMZN,2024-12-22,375.69,380.04,373.35,376.97,86334942
AMZN,2024-12-23,232.67,240.3,231.49,236.58,40309136
AMZN,2024-12-23,241.99,244.67,237.3,244.05,62475945
AMZN,2024-12-23,383.97,387.41,378.58,382.94,45320887
AMZN,2024-12-23,265.24,272.38,258.54,263.41,4281473
AMZN,2024-12-24,207.79,216.48,198.03,215.93,4760523
AMZN,2024-12-24,348.19,351.19,338.96,342.28,8785504
AMZN,2024-12-24,226.01,232.96,218.44,232.46,42336877
AMZN,2024-12-24,210.01,212.14,200.85,211.85,4954383
AMZN,2024-12-25,374.57,378.91,370.65,372.73,47910575
AMZN,2024-12-25,258.26,266.06,250.45,263.56,36014368
AMZN,2024-12-26,316.61,323.6,313.15,317.74,37835759
AMZN,2024-12-26,390.7,396.72,387.59,390.36,77097202
AMZN,2024-12-26,389.49,394.25,380.39,392.58,85057516
AMZN,2024-12-26,385.37,390.02,382.99,386.25,44194886
AMZN,2024-12-27,288.18,293.07,279.98,285.37,30910680
AMZN,2024-12-28,448.29,453.49,445.22,451.75,29882341
AMZN,2024-12-28,411.32,417.21,406.2,411.14,52899904
AMZN,2024-12-28,368.21,378.04,359.22,368.16,11101707
AMZN,2024-12-29,437.03,440.38,429.75,431.71,72556932
AMZN,2024-12-29,454.56,456.79,452.13,454.98,68845292
AMZN,2024-12-30,278.01,279.39,268.23,271.46,97043581
AMZN,2024-12-30,285.42,292.5,277.13,281.35,83833972
AMZN,2024-12-30,263.89,272.43,260.61,272.22,34682218
AMZN,2024-12-30,249.36,258.97,246.09,251.19,95063296
AMZN,2024-12-30,391.03,397.29,383.75,394.82,53153825
AMZN,2024-12-30,493.8,497.8,487.14,489.47,94207081
AMZN,2024-12-30,448.72,451.51,439.47,447.41,78459508
MSFT,2024-12-01,348.74,352.28,343.42,350.87,35546500
MSFT,2024-12-02,477.04,478.19,467.22,469.0,68750180
MSFT,2024-12-02,213.9,222.09,210.55,218.02,67905807
MSFT,2024-12-02,392.59,393.81,391.44,393.23,70209274
MSFT,2024-12-03,271.16,275.64,263.47,269.18,19962111
MSFT,2024-12-03,263.32,268.7,254.04,263.77,44099314
MSFT,2024-12-03,281.57,283.1,277.55,278.58,41708950
MSFT,2024-12-03,406.68,413.26,399.27,406.81,64464275
MSFT,2024-12-04,257.59,265.15,251.51,262.59,25589254
MSFT,2024-12-04,343.13,351.47,338.56,348.53,90902280
MSFT,2024-12-04,454.79,458.31,446.74,458.2,21777527
MSFT,2024-12-04,418.88,425.67,412.04,416.92,47827384
MSFT,2024-12-04,329.1,339.03,326.4,327.96,98987717
MSFT,2024-12-05,312.51,320.79,304.53,317.25,25580449
MSFT,2024-12-06,303.47,306.67,294.92,296.05,62811351
MSFT,2024-12-06,447.59,449.1,446.46,447.59,96222060
MSFT,2024-12-07,314.43,316.23,305.47,309.14,97945836
MSFT,2024-12-07,326.88,330.11,323.81,329.44,21865470
MSFT,2024-12-08,307.76,312.84,306.75,310.45,89066743
MSFT,2024-12-08,292.29,295.49,282.87,291.79,77890677
MSFT,2024-12-09,376.28,381.0,373.18,378.76,13801115
MSFT,2024-12-09,465.05,471.17,455.35,465.16,49205670
MSFT,2024-12-09,308.35,314.53,304.04,308.64,28217389
MSFT,2024-12-09,427.86,435.46,424.61,425.88,7379831
MSFT,2024-12-10,320.72,329.54,316.35,324.1,53301765
MSFT,2024-12-10,331.06,335.44,328.85,333.27,90519760
MSFT,2024-12-10,335.8,339.28,327.57,328.72,18659192
MSFT,2024-12-11,277.33,286.21,271.56,276.3,12378756
MSFT,2024-12-11,428.44,433.74,424.4,431.3,89412865
MSFT,2024-12-11,368.21,369.39,360.71,361.41,72148154
MSFT,2024-12-11,387.7,395.15,385.31,392.19,61776398
MSFT,2024-12-12,255.09,257.26,249.41,252.72,95394655
MSFT,2024-12-13,344.05,349.67,334.65,334.8,89616815
MSFT,2024-12-13,250.15,258.14,241.87,241.99,25918913
MSFT,2024-12-13,276.34,284.29,266.85,277.3,8360245
MSFT,2024-12-13,319.72,324.63,311.18,316.71,81836481
MSFT,2024-12-13,489.53,495.15,488.28,493.73,8063850
MSFT,2024-12-14,367.59,375.6,362.34,369.46,19080663
